LocationKey,LocationType,LocationId,PremisesType,LocationName,LocationAddress1,LocationAddress2,LocationAddress3,LocationAddress4,PostCode,MapRef,X,Y,HoldingType,CtyKey,CtyPar,vLocationId,Region,Live,Has_Movements,CurrentSamCPH,CurrentCPHActiveFrom,PostCodeArea
405032,AH,14/235/7000,LK,WAGON WHEELS,CONDICOTE,CHELTENHAM,GLOUCESTERSHIRE,,GL54 1ES,,414980,228418,BEEF,14,14235,142357000,,Y,Y,142357000,1970-01-01T00:00:00.000Z,GL
88614,AH,14/372/0039,AH,GROUND FARM,MORSE LANE,DRYBROOK,GLOS,,GL17 9AQ,SO642173,363347,217601,BEEF,14,14372,143720039,,Y,Y,143720039,1970-01-01T00:00:00.000Z,GL
84824,AH,14/167/0002,AH,HILLFIELDS,KEMPLEY,DYMOCK,GLOS,,GL18 2BA,SO676308,367646,230817,DAIRY,14,14167,141670002,,,Y,141670002,1970-01-01T00:00:00.000Z,GL
83888,AH,14/118/0011,AH,MANOR FARM,112 TEWKESBURY ROAD,LONGFORD,GLOUCESTER,,GL2 9BP,SO839209,383932,220994,DAIRY,14,14118,141180011,,Y,Y,141180011,1970-01-01T00:00:00.000Z,GL
87781,AH,14/340/0019,AH,NEW MEADOW BARN FARM,OLD BROCKHAMPTON ROAD,WINCHCOMBE,CHELTENHAM,,GL54 5BA,SP005282,402964,226086,BEEF,14,14340,143400019,,Y,Y,143400019,1970-01-01T00:00:00.000Z,GL
87695,AH,14/331/0008,AH,MANOR FARM,HAWLING,ANDOVERSFORD,CHELTENHAM,GLOS,GL54 5TA,SP064229,406438,222879,BEEF,14,14331,143310008,,,Y,143310008,1970-01-01T00:00:00.000Z,GL
84887,AH,14/168/0119,AH,MANOR FARM,CLIFFORDS MESNE,NEWENT,GLOS,,GL18 1JL,SO703234,370248,223330,BEEF,14,14168,141680119,,Y,Y,141680119,1970-01-01T00:00:00.000Z,GL
87816,AH,14/341/0088,AH,CAREYS FARM,TADDINGTON,TEMPLE GUITING,CHELTENHAM,GLOS,GL54 5RY,SP087311,408731,231108,BEEF,14,14341,143410088,,,Y,143410088,1970-01-01T00:00:00.000Z,GL
25802679,AH,14/194/0037,AH,LIMES COTTAGE,RENDCOMB,CIRENCESTER,GLOUCESTERSHIRE,,GL7 7DF,,403041,209457,Not matched,14,14194,141940037,,,Y,141940037,1970-01-01T00:00:00.000Z,GL
25813954,AH,14/075/0130,AH,MARGERY CORNER,STOWE GREEN,ST BRIAVELS,GLOUCESTERSHIRE,,GL15 6QW,,356445,206661,BEEF,14,14075,140750130,,Y,Y,140750130,1970-01-01T00:00:00.000Z,GL
83070,AH,14/081/0054,AH,WICK MILL HOUSE,LOWER WICK,DURSLEY,GLOS,,GL11 6DD,,370974,196903,BEEF,14,14081,140810054,,,Y,140810054,1970-01-01T00:00:00.000Z,GL
1418421,AH,14/121/0102,AH,THE PADDOCKS,HARTLANDS HILL,MINSTERWORTH,GLOUCESTERSHIRE,,GL2 8JY,,375195,215279,BEEF,14,14121,141210102,,,Y,141210102,1970-01-01T00:00:00.000Z,GL
84942,AH,14/168/0288,AH,MIDDLE FARM,MIDDLETOWN LANE,UPLEADON,GLOS,,GL18 1EQ,SO715262,376406,226540,BEEF,14,14168,141680288,,,Y,141680288,1970-01-01T00:00:00.000Z,GL
88045,AH,14/351/0024,AH,WORTLEY DAIRY FARM,WORTLEY,WOTTON U EDGE,GLOS,,GL12 7QP,ST766917,376610,191616,BEEF,14,14351,143510024,,Y,Y,143510024,1970-01-01T00:00:00.000Z,GL
109001,AH,17/481/0087,AH,RED HOUSE FARM,LONGDON,TEWKESBURY,GLOS,,GL20 6BD,SO815351,381506,235034,DAIRY,17,17481,174810087,,Y,Y,174810087,1970-01-01T00:00:00.000Z,GL
82363,AH,14/052/0015,AH,FOSSE FARM,DRIFFIELD,CIRENCESTER,GLOUCESTERSHIRE,,GL7 5QA,SU073977,407191,197795,BEEF,14,14052,140520015,,Y,Y,140520015,1970-01-01T00:00:00.000Z,GL
25779994,AH,14/258/0213,AH,CONSERVATION HERD,THE OLD EBWORTH CENTRE,EBWORTH ESTATE,THE CAMP,STROUD,GL6 7ES,SO914114,391388,211864,BEEF,14,14258,142580213,,Y,Y,142580213,1970-01-01T00:00:00.000Z,GL
1416326,AH,14/176/0147,AH,OLD STREET BARN,LENSBROOK,LYDNEY,GLOUCESTERSHIRE,,GL15 4LR,,366526,205567,Not matched,14,14176,141760147,,,Y,141760147,1970-01-01T00:00:00.000Z,GL
82463,AH,14/060/0041,AH,MARSDEN MANOR,CIRENCESTER,GLOS,,,GL7 7EU,SP012118,401094,211797,BEEF,14,14060,140600041,,,Y,140600041,1970-01-01T00:00:00.000Z,GL
1415556,AH,14/180/7003,LK,PEAR TREE FARM,POPES HILL,NEWNHAM,GLOS,,GL14 1LD,,368263,215046,BEEF,14,14180,141807003,,,Y,141807003,1970-01-01T00:00:00.000Z,GL
81416,AH,14/005/0033,AH,NEW PARK FARM,HYSTFIELD,BERKELEY,GLOS,,GL13 9LN,ST665950,366340,194963,BEEF,14,14005,140050033,,Y,Y,140050033,1970-01-01T00:00:00.000Z,GL
87968,AH,14/347/0055,AH,NIND FARM,KINGSWOOD,WOTTON UNDER EDGE,GLOUCESTERSHIRE,,GL12 7QU,ST755914,375467,191524,DAIRY,14,14347,143470055,,Y,Y,143470055,1970-01-01T00:00:00.000Z,GL
83245,AH,14/088/0014,AH,SWYRE FARM,COLN ST ALDWYNS,CIRENCESTER,GLOS,,GL7 5AX,SP148825,416445,207523,BEEF,14,14088,140880014,,Y,Y,140880014,1970-01-01T00:00:00.000Z,GL
85160,AH,14/172/0082,AH,DREWS FARM,TAYNTON,GLOUCESTER,GLOS,,GL19 3AN,SO738224,373814,222396,BEEF,14,14172,141720082,,,Y,141720082,1970-01-01T00:00:00.000Z,GL
108858,AH,17/477/0067,AH,COLES FARM,ELDERSFIELD,GLOUCESTER,,,GL19 4PR,SO795315,379511,231524,BEEF,17,17477,174770067,,Y,Y,174770067,1970-01-01T00:00:00.000Z,GL
