"area","South West","# Holdings","AH","LK","SR","SG","MA","EX","CC","KY","CA","HK","SM","SW","AI","CS","ET","PP","CR"
"country",,,95.289,3.639,0.404,0.332,0.186,0.049,0.039,0.02,0.019,0.008,0.004,0.003,0.002,0.002,0.002,0.002,0.001
"SA",,7447,97.838,1.356,0.148,0.295,0.148,0.067,0.04,0.013,0.094,,,,,,,,
"EX",1,6650,96.15,2.992,0.286,0.241,0.165,0.045,0.045,,0.03,0.03,,,,,,0.015,
"SY",,5802,97.311,2.017,0.19,0.103,0.207,0.052,0.052,0.034,0.034,,,,,,,,
"LL",,5073,97.023,2.05,0.394,0.197,0.079,0.079,0.099,,0.02,0.02,0.02,,,0.02,,,
"CA",,4062,95.913,3.151,0.074,0.345,0.271,0.098,0.074,,0.049,,,,0.025,,,,
"AB",,3839,89.711,9.898,0.182,0.156,0.052,,,,,,,,,,,,
"PL",1,3414,96.251,2.783,0.293,0.322,0.205,0.059,,0.059,,0.029,,,,,,,
"YO",,3337,95.085,3.686,0.569,0.27,0.21,0.06,0.06,,0.03,,,,,,0.03,,
"TA",1,2836,94.252,4.443,0.599,0.317,0.317,,0.035,0.035,,,,,,,,,
"DG",,2626,93.45,5.979,0.19,0.114,0.228,0.038,,,,,,,,,,,
"ST",,2524,95.325,3.724,0.674,0.04,0.119,0.079,0.04,,,,,,,,,,
"DL",,2409,96.679,2.159,0.581,0.083,0.415,0.042,,,0.042,,,,,,,,
"DE",,2351,94.768,3.658,0.893,0.468,0.17,,0.043,,,,,,,,,,
"TR",1,2234,97.314,1.746,0.358,0.269,0.224,0.045,,0.045,,,,,,,,,
"LA",,2222,95.455,2.925,0.315,0.54,0.45,0.135,0.09,0.09,,,,,,,,,
"GL",1,2214,94.986,3.884,0.316,0.136,0.271,0.09,0.181,0.045,0.045,0.045,,,,,,,
"IV",,2087,95.113,4.408,0.096,0.287,0.096,,,,,,,,,,,,
"HR",,2033,96.163,3.296,0.098,0.148,0.295,,,,,,,,,,,,
"BA",1,1978,93.883,5.207,0.202,0.404,0.101,0.051,0.051,0.051,0.051,,,,,,,,
"LE",,1741,94.773,3.963,0.747,0.287,0.115,0.057,,,,0.057,,,,,,,
"NE",,1692,95.449,3.664,0.177,0.296,0.236,,0.059,,,,0.059,0.059,,,,,
"LD",,1630,98.098,0.552,0.245,0.491,0.368,,0.123,0.061,,,,,,0.061,,,
"DT",1,1622,95.376,3.946,0.432,0.123,,0.062,,0.062,,,,,,,,,
